DATE,USPRIV_PCH
1979-04-01,-0.11289
1979-05-01,0.48883
1979-06-01,0.35773
1979-07-01,0.00540
1979-08-01,0.00540
1979-09-01,0.17281
1979-10-01,0.19677
1979-11-01,0.07398
1979-12-01,0.12366
1980-01-01,0.14364
1980-02-01,0.07775
1980-03-01,0.05492
1980-04-01,-0.57833
1980-05-01,-0.40395
1980-06-01,-0.41370
1980-07-01,-0.32311
1980-08-01,0.36365
1980-09-01,0.26327
1980-10-01,0.29912
1980-11-01,0.34006
1980-12-01,0.28780
1981-01-01,0.13813
1981-02-01,0.11517
1981-03-01,0.21268
1981-04-01,0.14015
1981-05-01,0.09997
1981-06-01,0.31026
1981-07-01,0.12611
1981-08-01,0.03845
1981-09-01,-0.01193
1981-10-01,-0.17894
1981-11-01,-0.28947
1981-12-01,-0.36089
1982-01-01,-0.39828
1982-02-01,0.03757
1982-03-01,-0.19047
1982-04-01,-0.36285
1982-05-01,-0.04856
1982-06-01,-0.34411
1982-07-01,-0.29520
1982-08-01,-0.26891
1982-09-01,-0.23559
1982-10-01,-0.42179
1982-11-01,-0.19465
1982-12-01,-0.02610
1983-01-01,0.24317
1983-02-01,-0.07401
1983-03-01,0.23590
1983-04-01,0.39543
1983-05-01,0.36116
1983-06-01,0.49159
1983-07-01,0.57432
1983-08-01,-0.42055
1983-09-01,1.47343
1983-10-01,0.43747
1983-11-01,0.45542
1983-12-01,0.45336
1984-01-01,0.57857
1984-02-01,0.61177
1984-03-01,0.34616
1984-04-01,0.41086
1984-05-01,0.35771
1984-06-01,0.45772
1984-07-01,0.33822
1984-08-01,0.24295
1984-09-01,0.35656
1984-10-01,0.33633
1984-11-01,0.39821
1984-12-01,0.19329
1985-01-01,0.26433
1985-02-01,0.14743
1985-03-01,0.36555
1985-04-01,0.20013
1985-05-01,0.28533
1985-06-01,0.15216
1985-07-01,0.08276
1985-08-01,0.23819
1985-09-01,0.22900
1985-10-01,0.21128
1985-11-01,0.23290
1985-12-01,0.17855
1986-01-01,0.12452
1986-02-01,0.08657
1986-03-01,0.11086
1986-04-01,0.21538
1986-05-01,0.12385
1986-06-01,-0.09944
1986-07-01,0.38603
1986-08-01,0.11367
1986-09-01,0.28507
1986-10-01,0.15417
1986-11-01,0.18160
1986-12-01,0.22208
1987-01-01,0.17368
1987-02-01,0.29893
1987-03-01,0.25869
1987-04-01,0.34483
1987-05-01,0.26780
1987-06-01,0.18909
1987-07-01,0.36685
1987-08-01,0.18922
1987-09-01,0.30968
1987-10-01,0.41749
