DATE,USCONS_PCH
1953-07-01,-0.22531
1953-08-01,0.00000
1953-09-01,0.86564
1953-10-01,1.00746
1953-11-01,-0.22165
1953-12-01,0.44428
1954-01-01,-2.28529
1954-02-01,2.18785
1954-03-01,-0.22148
1954-04-01,-0.07399
1954-05-01,-0.77749
1954-06-01,-0.41045
1954-07-01,-0.18734
1954-08-01,0.07508
1954-09-01,-0.18755
1954-10-01,0.60128
1954-11-01,1.60628
1954-12-01,0.58824
1955-01-01,1.20614
1955-02-01,0.36114
1955-03-01,2.01511
1955-04-01,1.26984
1955-05-01,1.11459
1955-06-01,0.44781
1955-07-01,0.54870
1955-08-01,-0.34106
1955-09-01,-0.03422
1955-10-01,-0.68470
1955-11-01,-0.10341
1955-12-01,0.17253
1956-01-01,1.03341
1956-02-01,1.80702
1956-03-01,0.43537
1956-04-01,1.13371
1956-05-01,1.31883
1956-06-01,4.19785
1956-07-01,-2.65459
1956-08-01,1.37953
1956-09-01,-0.98101
1956-10-01,-0.51135
1956-11-01,-0.25699
1956-12-01,0.03221
1957-01-01,-3.54153
1957-02-01,2.30307
1957-03-01,0.26101
1957-04-01,-0.81354
1957-05-01,-0.42651
1957-06-01,0.00000
1957-07-01,-0.79077
1957-08-01,-0.83029
1957-09-01,-0.50234
1957-10-01,-0.20195
1957-11-01,-0.67454
1957-12-01,-0.33956
1958-01-01,-0.34072
1958-02-01,-4.54701
1958-03-01,2.18481
1958-04-01,-1.05152
1958-05-01,-0.28339
1958-06-01,-0.67496
1958-07-01,0.39342
1958-08-01,0.92626
1958-09-01,1.44723
1958-10-01,1.49617
1958-11-01,2.22832
1958-12-01,-2.41449
1959-01-01,2.85223
1959-02-01,-0.43435
1959-03-01,1.10738
1959-04-01,2.38964
1959-05-01,0.06483
1959-06-01,0.42112
1959-07-01,-0.41935
1959-08-01,-0.06479
1959-09-01,-1.10211
1959-10-01,-1.14716
1959-11-01,0.29841
1959-12-01,1.09091
1960-01-01,-1.20994
1960-02-01,1.05925
1960-03-01,-5.63380
1960-04-01,4.26935
1960-05-01,0.56591
1960-06-01,-0.72824
1960-07-01,0.10003
1960-08-01,-0.96602
1960-09-01,-0.47090
1960-10-01,-0.10139
1960-11-01,-0.67659
1960-12-01,-2.52044
1961-01-01,1.64221
1961-02-01,-0.72190
1961-03-01,0.76177
1961-04-01,-0.92784
1961-05-01,-0.58966
1961-06-01,1.43057
1961-07-01,-0.82559
1961-08-01,0.65904
1961-09-01,0.55134
1961-10-01,0.58259
1961-11-01,0.20443
1961-12-01,0.34002
1962-01-01,-1.99932
1962-02-01,2.86999
1962-03-01,-1.14286
1962-04-01,2.61816
1962-05-01,0.23194
1962-06-01,-2.14876
1962-07-01,2.19595
1962-08-01,0.06612
1962-09-01,0.19822
1962-10-01,-0.06594
1962-11-01,0.13197
1962-12-01,-0.88962
1963-01-01,0.43218
1963-02-01,-0.79444
1963-03-01,-0.60060
1963-04-01,2.24908
1963-05-01,0.49245
1963-06-01,-0.03267
1963-07-01,0.91503
1963-08-01,0.35622
1963-09-01,0.35495
1963-10-01,-0.19293
1963-11-01,-0.67655
1963-12-01,-0.03244
1964-01-01,-2.79040
1964-02-01,4.53939
1964-03-01,-0.22350
1964-04-01,-0.38400
1964-05-01,0.38548
1964-06-01,0.70400
1964-07-01,0.31776
1964-08-01,0.28508
1964-09-01,0.15793
1964-10-01,0.91454
1964-11-01,0.81250
1964-12-01,0.21699
1965-01-01,-0.06186
1965-02-01,-0.18570
1965-03-01,0.49612
1965-04-01,-1.26504
1965-05-01,2.15625
1965-06-01,0.30590
1965-07-01,-0.91491
1965-08-01,1.66205
1965-09-01,0.51468
1965-10-01,0.60241
1965-11-01,0.74850
1965-12-01,1.21842
1966-01-01,-0.79272
1966-02-01,-1.27257
1966-03-01,2.54796
1966-04-01,-0.78924
1966-05-01,-1.00177
1966-06-01,1.84524
1966-07-01,-0.05845
1966-08-01,-0.76023
1966-09-01,-0.79552
1966-10-01,-0.80190
1966-11-01,-0.77844
1966-12-01,0.12070
1967-01-01,0.33153
1967-02-01,-0.36047
1967-03-01,-0.81399
1967-04-01,-0.39514
1967-05-01,-0.45774
1967-06-01,0.06131
1967-07-01,1.19485
1967-08-01,0.27248
1967-09-01,0.06039
1967-10-01,-0.03018
1967-11-01,0.93571
1967-12-01,0.02990
1968-01-01,-4.00598
1968-02-01,5.79259
1968-03-01,-0.26494
1968-04-01,0.38371
1968-05-01,-0.32343
1968-06-01,-0.79646
1968-07-01,0.68391
1968-08-01,0.91553
1968-09-01,1.17062
1968-10-01,0.95458
1968-11-01,-0.11461
1968-12-01,1.14745
1969-01-01,0.22689
1969-02-01,1.16016
1969-03-01,0.11189
1969-04-01,0.30735
1969-05-01,1.25348
1969-06-01,0.79780
1969-07-01,0.00000
1969-08-01,-0.27293
1969-09-01,0.60208
1969-10-01,-0.10881
1969-11-01,0.29956
1969-12-01,0.65164
1970-01-01,-2.48179
1970-02-01,2.43430
1970-03-01,-0.16203
1970-04-01,-0.75737
1970-05-01,-0.95394
1970-06-01,0.05504
1970-07-01,0.24752
1970-08-01,0.10974
1970-09-01,-0.84955
1970-10-01,0.22112
1970-11-01,0.46884
1970-12-01,1.23525
1971-01-01,-1.22017
1971-02-01,-0.27450
1971-03-01,1.12854
1971-04-01,1.66032
1971-05-01,0.40161
1971-06-01,0.24000
1971-07-01,0.71828
1971-08-01,0.00000
1971-09-01,0.89805
1971-10-01,1.23037
1971-11-01,0.93095
1971-12-01,-0.92237
1972-01-01,1.16369
1972-02-01,-0.61350
1972-03-01,0.84877
1972-04-01,0.25504
1972-05-01,0.66141
1972-06-01,0.30326
1972-07-01,-0.75586
1972-08-01,1.11703
1972-09-01,0.42681
1972-10-01,0.95000
1972-11-01,-0.89153
1972-12-01,-1.62419
1973-01-01,1.70180
1973-02-01,1.67333
1973-03-01,0.44215
1973-04-01,0.41575
1973-05-01,0.75499
1973-06-01,1.35364
1973-07-01,0.93012
1973-08-01,0.02363
1973-09-01,0.09450
1973-10-01,-0.11801
1973-11-01,0.00000
1973-12-01,0.16541
1974-01-01,-1.01439
1974-02-01,1.50143
1974-03-01,-0.09392
1974-04-01,-0.70505
1974-05-01,-0.63905
1974-06-01,-1.23869
1974-07-01,-2.43608
1974-08-01,0.34611
1974-09-01,-1.23183
1974-10-01,-0.92292
1974-11-01,-1.53575
1974-12-01,-1.30401
1975-01-01,-0.49223
1975-02-01,-3.20229
1975-03-01,-2.42066
1975-04-01,-1.73649
1975-05-01,-0.36466
1975-06-01,-0.73198
1975-07-01,-0.70902
1975-08-01,1.31391
1975-09-01,0.73301
1975-10-01,0.39183
1975-11-01,0.47393
1975-12-01,1.02664
1976-01-01,1.29085
1976-02-01,-0.02711
1976-03-01,-0.05424
1976-04-01,-0.02714
1976-05-01,-0.95005
1976-06-01,-0.46588
1976-07-01,-0.13767
1976-08-01,0.13785
1976-09-01,0.05507
1976-10-01,0.30270
1976-11-01,0.90535
1976-12-01,0.27189
1977-01-01,-0.75922
1977-02-01,3.14208
1977-03-01,2.22517
1977-04-01,1.16611
1977-05-01,0.66598
1977-06-01,0.81425
1977-07-01,0.47956
1977-08-01,0.35167
1977-09-01,0.70088
1977-10-01,0.27343
1977-11-01,0.59494
1977-12-01,0.71464
1978-01-01,-1.41913
1978-02-01,0.71978
1978-03-01,2.95712
1978-04-01,3.11154
1978-05-01,-0.13928
1978-06-01,1.78987
1978-07-01,0.54807
1978-08-01,0.38610
1978-09-01,0.09050
1978-10-01,0.51989
1978-11-01,0.13492
1978-12-01,-0.06737
1979-01-01,-1.73034
1979-02-01,0.36588
1979-03-01,3.71383
1979-04-01,-0.79086
1979-05-01,1.08503
1979-06-01,0.85433
1979-07-01,0.36924
1979-08-01,0.28132
1979-09-01,-0.19422
1979-10-01,-0.10811
1979-11-01,-0.06494
1979-12-01,0.28157
1980-01-01,-0.10799
1980-02-01,-0.43243
1980-03-01,-1.23779
1980-04-01,-1.64908
1980-05-01,-0.87190
1980-06-01,-0.87957
1980-07-01,-1.00114
1980-08-01,0.59756
1980-09-01,0.54832
1980-10-01,0.22722
1980-11-01,-0.04534
1980-12-01,0.13609
1981-01-01,-0.92865
1981-02-01,-0.38866
1981-03-01,0.89511
1981-04-01,0.40946
1981-05-01,-1.60852
1981-06-01,-0.73682
1981-07-01,-0.27836
1981-08-01,-0.48849
1981-09-01,-0.56101
1981-10-01,-0.37612
1981-11-01,-0.68429
1981-12-01,-0.76028
1982-01-01,-2.58559
1982-02-01,1.52372
1982-03-01,-0.55677
1982-04-01,-0.60857
1982-05-01,0.22043
1982-06-01,-1.51515
1982-07-01,-0.71960
1982-08-01,-0.59985
1982-09-01,-0.37717
1982-10-01,-0.55528
1982-11-01,0.17766
1982-12-01,0.02534
1983-01-01,1.84904
1983-02-01,-1.41756
1983-03-01,-0.55499
1983-04-01,0.15221
1983-05-01,0.30395
1983-06-01,1.16162
1983-07-01,1.22317
1983-08-01,1.10974
1983-09-01,0.92683
1983-10-01,0.96665
1983-11-01,0.93346
1983-12-01,0.73512
1984-01-01,1.34181
1984-02-01,2.43902
1984-03-01,-0.38549
1984-04-01,0.68290
1984-05-01,0.74610
1984-06-01,1.14452
1984-07-01,0.59907
1984-08-01,0.28672
1984-09-01,0.63778
1984-10-01,0.30594
1984-11-01,0.58824
1984-12-01,0.75807
1985-01-01,0.34394
1985-02-01,-0.12853
1985-03-01,1.45860
1985-04-01,0.71882
1985-05-01,0.48279
1985-06-01,0.04178
1985-07-01,0.20881
1985-08-01,0.50010
1985-09-01,0.60129
1985-10-01,0.32976
1985-11-01,0.22597
1985-12-01,0.16397
1986-01-01,0.42971
1986-02-01,-0.08150
1986-03-01,0.20392
1986-04-01,0.73260
1986-05-01,-0.52525
1986-06-01,-0.14216
1986-07-01,0.26439
1986-08-01,0.26369
1986-09-01,-0.08092
