DATE,USINFO_PCH
1956-07-01,-1.62738
1956-08-01,1.31204
1956-09-01,0.11261
1956-10-01,0.33746
1956-11-01,-0.05605
1956-12-01,0.22434
1957-01-01,0.05596
1957-02-01,0.16779
1957-03-01,0.27917
1957-04-01,-0.05568
1957-05-01,-0.16713
1957-06-01,-0.33482
1957-07-01,-0.05599
1957-08-01,0.11204
1957-09-01,-0.44768
1957-10-01,-0.61832
1957-11-01,-0.84842
1957-12-01,-0.74159
1958-01-01,-1.03448
1958-02-01,-1.04530
1958-03-01,-1.17371
1958-04-01,-1.06888
1958-05-01,-0.48019
1958-06-01,-0.18094
1958-07-01,0.00000
1958-08-01,0.06042
1958-09-01,0.42271
1958-10-01,0.12026
1958-11-01,0.78078
1958-12-01,0.11919
1959-01-01,1.01190
1959-02-01,0.35357
1959-03-01,0.58720
1959-04-01,0.52539
1959-05-01,0.46458
1959-06-01,0.23121
1959-07-01,0.17301
1959-08-01,-1.55440
1959-09-01,0.29240
1959-10-01,-0.40816
1959-11-01,0.46838
1959-12-01,0.99068
1960-01-01,0.46163
1960-02-01,0.34463
1960-03-01,-0.05724
1960-04-01,0.05727
1960-05-01,-0.45793
1960-06-01,-0.28752
1960-07-01,-0.23068
1960-08-01,-0.34682
1960-09-01,-0.23202
1960-10-01,-0.34884
1960-11-01,-0.52509
1960-12-01,-0.82111
1961-01-01,-0.17741
1961-02-01,-0.35545
1961-03-01,-0.11891
1961-04-01,-0.11905
1961-05-01,0.29797
1961-06-01,0.23767
1961-07-01,0.41494
1961-08-01,0.17710
1961-09-01,0.11786
1961-10-01,0.23543
1961-11-01,0.35232
1961-12-01,0.05851
1962-01-01,0.11696
1962-02-01,0.29206
1962-03-01,0.23296
1962-04-01,0.23242
1962-05-01,0.00000
1962-06-01,-0.05797
1962-07-01,-0.23202
1962-08-01,0.11628
1962-09-01,0.11614
1962-10-01,0.40603
1962-11-01,-0.28885
1962-12-01,0.11587
1963-01-01,-1.04167
1963-02-01,1.11111
1963-03-01,0.00000
1963-04-01,0.05784
1963-05-01,0.23121
1963-06-01,0.11534
1963-07-01,0.17281
1963-08-01,-0.05750
1963-09-01,0.17261
1963-10-01,0.34463
1963-11-01,-0.34345
1963-12-01,0.11488
1964-01-01,0.22949
1964-02-01,0.17172
1964-03-01,0.05714
1964-04-01,0.28555
1964-05-01,0.11390
1964-06-01,0.05688
1964-07-01,0.45480
1964-08-01,0.22637
1964-09-01,0.45172
1964-10-01,-0.39348
1964-11-01,0.62077
1964-12-01,0.61694
1965-01-01,-0.61315
1965-02-01,0.72911
1965-03-01,0.50111
1965-04-01,0.27701
1965-05-01,0.22099
1965-06-01,0.33076
1965-07-01,0.43956
1965-08-01,0.27352
1965-09-01,0.49100
1965-10-01,0.38002
1965-11-01,0.27042
1965-12-01,0.37756
1966-01-01,0.32241
1966-02-01,0.53562
1966-03-01,0.37294
1966-04-01,0.42463
1966-05-01,0.47569
1966-06-01,0.47344
1966-07-01,0.00000
1966-08-01,0.05236
1966-09-01,0.88959
1966-10-01,0.36307
1966-11-01,0.31008
1966-12-01,0.15456
1967-01-01,0.41152
1967-02-01,-0.15369
1967-03-01,0.05131
1967-04-01,-0.46154
1967-05-01,0.56672
1967-06-01,-0.05123
1967-07-01,0.20502
1967-08-01,0.05115
1967-09-01,-0.05112
1967-10-01,-0.10230
1967-11-01,0.87046
1967-12-01,0.05076
1968-01-01,0.10147
1968-02-01,0.20274
1968-03-01,0.05058
1968-04-01,0.15167
1968-05-01,-0.35336
1968-06-01,0.60790
1968-07-01,0.25176
1968-08-01,0.15068
1968-09-01,0.35105
1968-10-01,0.24988
1968-11-01,0.44865
1968-12-01,0.19851
1969-01-01,0.00000
1969-02-01,0.29718
1969-03-01,0.29630
1969-04-01,0.49237
1969-05-01,0.19598
1969-06-01,0.34230
1969-07-01,0.14620
1969-08-01,0.34063
1969-09-01,-0.04850
1969-10-01,0.19408
1969-11-01,-0.14528
1969-12-01,0.00000
1970-01-01,0.09699
1970-02-01,-0.19380
1970-03-01,-0.04854
1970-04-01,-0.43711
1970-05-01,-0.24390
1970-06-01,0.00000
1970-07-01,0.24450
1970-08-01,-0.39024
1970-09-01,-0.09794
1970-10-01,-1.07843
1970-11-01,-0.34688
1970-12-01,-0.14918
1971-01-01,0.29880
1971-02-01,0.00000
1971-03-01,-0.29791
1971-04-01,0.04980
1971-05-01,0.29866
1971-06-01,-0.34739
1971-07-01,0.04980
1971-08-01,-0.49776
1971-09-01,0.45023
1971-10-01,-0.34861
1971-11-01,0.19990
1971-12-01,0.34913
1972-01-01,0.34791
1972-02-01,0.29718
1972-03-01,0.49383
1972-04-01,0.24570
1972-05-01,0.29412
1972-06-01,0.39101
1972-07-01,-0.14606
1972-08-01,0.48757
1972-09-01,0.24260
1972-10-01,0.58083
1972-11-01,0.48123
1972-12-01,0.38314
1973-01-01,0.19084
1973-02-01,0.52381
1973-03-01,0.33160
1973-04-01,0.33050
1973-05-01,0.14118
1973-06-01,0.14098
1973-07-01,0.09385
1973-08-01,0.37506
1973-09-01,0.18683
1973-10-01,0.46620
1973-11-01,0.23202
1973-12-01,0.00000
1974-01-01,0.32407
1974-02-01,0.00000
1974-03-01,-0.09229
1974-04-01,0.04619
1974-05-01,0.13850
1974-06-01,0.09221
1974-07-01,0.09212
1974-08-01,-0.27612
1974-09-01,-0.36917
1974-10-01,-0.18527
1974-11-01,-0.55684
1974-12-01,-1.16659
1975-01-01,-1.08593
1975-02-01,-1.05012
1975-03-01,-0.67535
1975-04-01,-0.29140
1975-05-01,-0.09742
1975-06-01,-0.29254
1975-07-01,0.09780
1975-08-01,0.34196
1975-09-01,0.04869
1975-10-01,0.29197
1975-11-01,0.29112
1975-12-01,-0.09676
1976-01-01,0.87167
1976-02-01,0.48008
1976-03-01,0.33445
1976-04-01,0.28571
1976-05-01,0.00000
1976-06-01,0.23742
1976-07-01,0.18948
1976-08-01,0.14184
1976-09-01,0.23607
1976-10-01,-0.18841
1976-11-01,0.47192
1976-12-01,0.32879
1977-01-01,0.42135
1977-02-01,0.27972
1977-03-01,0.27894
1977-04-01,0.41725
1977-05-01,0.50785
1977-06-01,0.36748
1977-07-01,0.32037
1977-08-01,0.18248
1977-09-01,0.40984
1977-10-01,0.13605
1977-11-01,0.45290
1977-12-01,0.40577
1978-01-01,0.31432
1978-02-01,0.44763
1978-03-01,0.49020
1978-04-01,0.57650
1978-05-01,0.39683
1978-06-01,0.61484
1978-07-01,-0.26189
1978-08-01,0.48140
1978-09-01,0.21777
1978-10-01,0.65189
1978-11-01,0.69085
1978-12-01,0.38593
1979-01-01,0.25630
1979-02-01,0.34086
1979-03-01,0.33970
1979-04-01,-0.80406
1979-05-01,1.19454
1979-06-01,0.80101
1979-07-01,-0.20912
1979-08-01,-0.04191
1979-09-01,0.04193
1979-10-01,0.12573
1979-11-01,0.08372
1979-12-01,0.04182
1980-01-01,-0.04181
1980-02-01,-0.08365
1980-03-01,0.04186
1980-04-01,-0.54393
1980-05-01,-0.50484
1980-06-01,-0.59197
1980-07-01,-0.51042
1980-08-01,-0.68405
1980-09-01,0.08610
1980-10-01,1.24731
1980-11-01,0.21240
1980-12-01,0.21195
1981-01-01,0.33841
1981-02-01,0.04216
1981-03-01,0.16856
1981-04-01,0.21035
1981-05-01,0.12594
1981-06-01,0.16771
1981-07-01,0.12558
1981-08-01,0.00000
1981-09-01,-0.08361
1981-10-01,-0.20921
1981-11-01,-0.25157
1981-12-01,-0.50441
1982-01-01,-0.29573
1982-02-01,-0.21186
1982-03-01,-0.29724
1982-04-01,-0.51107
1982-05-01,-0.08562
1982-06-01,-0.42845
1982-07-01,-0.43029
1982-08-01,-0.43215
1982-09-01,-0.39063
1982-10-01,-0.43573
1982-11-01,-0.26258
1982-12-01,-0.13164
1983-01-01,-0.17575
1983-02-01,-0.13204
1983-03-01,0.22036
1983-04-01,0.35180
1983-05-01,0.26293
1983-06-01,0.26224
1983-07-01,0.39233
1983-08-01,-25.44507
1983-09-01,35.29412
1983-10-01,0.34438
1983-11-01,0.25740
1983-12-01,0.17116
1984-01-01,0.76890
1984-02-01,0.38152
1984-03-01,0.42230
1984-04-01,0.25231
1984-05-01,0.33557
1984-06-01,0.37625
1984-07-01,0.20825
1984-08-01,0.20781
1984-09-01,0.04148
1984-10-01,0.24876
1984-11-01,0.12407
1984-12-01,0.12392
1985-01-01,0.20627
1985-02-01,0.04117
1985-03-01,-0.28807
1985-04-01,0.37144
1985-05-01,0.08224
1985-06-01,0.12325
1985-07-01,0.04103
1985-08-01,-0.04102
1985-09-01,0.12310
1985-10-01,0.16393
1985-11-01,0.16367
1985-12-01,0.04085
1986-01-01,0.04083
1986-02-01,0.00000
1986-03-01,-0.04082
1986-04-01,0.04083
1986-05-01,0.04082
1986-06-01,-3.50877
1986-07-01,3.72093
1986-08-01,-1.34529
1986-09-01,1.57025
1986-10-01,-0.24410
1986-11-01,0.53018
1986-12-01,0.12170
1987-01-01,0.16207
1987-02-01,0.20227
1987-03-01,0.28260
1987-04-01,0.32206
1987-05-01,0.16051
1987-06-01,0.20032
1987-07-01,0.27989
1987-08-01,0.31898
1987-09-01,0.39746
1987-10-01,0.27712
1987-11-01,0.19739
1987-12-01,0.19701
1988-01-01,0.23594
1988-02-01,0.23539
1988-03-01,0.31311
1988-04-01,0.19508
1988-05-01,0.27259
1988-06-01,0.31068
1988-07-01,0.07743
1988-08-01,0.27079
1988-09-01,0.34722
1988-10-01,0.30757
1988-11-01,0.26830
1988-12-01,0.38226
1989-01-01,-0.22848
1989-02-01,0.26718
1989-03-01,0.07613
1989-04-01,0.30430
1989-05-01,0.22753
1989-06-01,0.11351
1989-07-01,-0.26455
1989-08-01,-5.34293
1989-09-01,4.48359
1989-10-01,0.22989
1989-11-01,0.15291
1989-12-01,2.36641
1990-01-01,-0.41014
1990-02-01,0.18720
1990-03-01,0.14948
1990-04-01,0.14925
1990-05-01,0.18629
1990-06-01,0.18594
1990-07-01,0.11136
1990-08-01,-0.03708
1990-09-01,-0.11128
1990-10-01,0.03713
1990-11-01,-0.14848
1990-12-01,0.07435
1991-01-01,0.18574
1991-02-01,-0.14831
1991-03-01,-0.14853
1991-04-01,0.00000
1991-05-01,-0.18594
1991-06-01,-0.14903
1991-07-01,-0.11194
1991-08-01,-0.22413
1991-09-01,-0.03744
1991-10-01,-0.11236
1991-11-01,-0.41245
1991-12-01,0.00000
1992-01-01,-0.67771
1992-02-01,0.07582
1992-03-01,0.07576
1992-04-01,-0.11355
1992-05-01,-0.03789
1992-06-01,0.00000
1992-07-01,-0.03791
1992-08-01,-0.07584
1992-09-01,0.11385
1992-10-01,0.26535
1992-11-01,0.18904
1992-12-01,0.15094
1993-01-01,0.03768
1993-02-01,0.03766
1993-03-01,-0.18825
1993-04-01,0.26405
1993-05-01,0.11287
1993-06-01,0.18790
1993-07-01,0.03751
1993-08-01,0.26247
1993-09-01,0.00000
1993-10-01,0.11219
1993-11-01,0.22413
1993-12-01,0.29817
1994-01-01,0.33445
1994-02-01,0.29630
1994-03-01,0.18464
1994-04-01,0.33174
1994-05-01,0.14695
1994-06-01,0.18342
1994-07-01,0.14647
1994-08-01,0.58501
1994-09-01,0.03635
1994-10-01,0.47238
1994-11-01,0.39783
1994-12-01,0.46830
1995-01-01,-0.14342
1995-02-01,1.04129
1995-03-01,0.31983
1995-04-01,0.35423
1995-05-01,0.03530
1995-06-01,0.10586
1995-07-01,0.42298
1995-08-01,0.07020
1995-09-01,0.45598
1995-10-01,0.31425
1995-11-01,0.24365
1995-12-01,0.13889
1996-01-01,0.13870
1996-02-01,0.13850
1996-03-01,0.38036
1996-04-01,0.24113
1996-05-01,0.34364
1996-06-01,0.41096
1996-07-01,0.44338
1996-08-01,0.40747
1996-09-01,0.40582
1996-10-01,0.26945
1996-11-01,0.43668
1996-12-01,0.23411
1997-01-01,0.40040
1997-02-01,0.53174
1997-03-01,0.62810
1997-04-01,0.39422
1997-05-01,0.49084
1997-06-01,0.52100
1997-07-01,0.19436
1997-08-01,0.32331
1997-09-01,0.16113
1997-10-01,0.48263
1997-11-01,0.28818
1997-12-01,0.44700
1998-01-01,0.28608
1998-02-01,0.44374
1998-03-01,0.25245
1998-04-01,0.50362
1998-05-01,0.31319
1998-06-01,0.18732
1998-07-01,0.56092
1998-08-01,0.09297
1998-09-01,0.34056
1998-10-01,0.52453
1998-11-01,0.39902
1998-12-01,0.51972
1999-01-01,0.45620
1999-02-01,0.81744
1999-03-01,0.18018
1999-04-01,0.62950
1999-05-01,1.01281
1999-06-01,0.41286
1999-07-01,0.64611
1999-08-01,0.70032
1999-09-01,0.72443
1999-10-01,0.60414
1999-11-01,0.51473
1999-12-01,0.48364
2000-01-01,0.56625
2000-02-01,0.50676
2000-03-01,0.58824
2000-04-01,0.50125
2000-05-01,0.16625
2000-06-01,0.74689
2000-07-01,0.43932
2000-08-01,-2.02296
2000-09-01,2.56696
2000-10-01,0.00000
2000-11-01,0.24483
2000-12-01,0.59701
2001-01-01,0.10790
2001-02-01,0.13473
2001-03-01,0.05382
2001-04-01,-0.86068
2001-05-01,-0.62398
2001-06-01,-0.57330
2001-07-01,-0.63152
2001-08-01,-0.58027
2001-09-01,-0.47248
2001-10-01,-0.67020
2001-11-01,-0.59039
2001-12-01,-0.42421
2002-01-01,-0.73843
2002-02-01,-0.68670
2002-03-01,-0.48977
2002-04-01,-0.55009
2002-05-01,-0.52402
2002-06-01,-0.46825
2002-07-01,-0.58806
2002-08-01,-0.32535
2002-09-01,-0.77151
2002-10-01,0.14952
2002-11-01,-0.62705
2002-12-01,-1.20192
2003-01-01,-0.72993
2003-02-01,-0.88848
2003-03-01,-0.43277
2003-04-01,-0.40360
2003-05-01,-0.43641
2003-06-01,-0.37570
2003-07-01,-0.18856
2003-08-01,-0.40932
2003-09-01,-0.03162
2003-10-01,-0.22138
2003-11-01,-0.15848
2003-12-01,0.00000
2004-01-01,-0.28571
2004-02-01,0.00000
2004-03-01,-0.22286
2004-04-01,-0.12763
2004-05-01,0.15974
2004-06-01,0.03190
2004-07-01,-0.38265
2004-08-01,-0.51216
2004-09-01,-0.38610
2004-10-01,0.09690
2004-11-01,-0.35495
2004-12-01,-0.35622
2005-01-01,-0.19500
2005-02-01,-0.45588
2005-03-01,0.16356
2005-04-01,0.13063
2005-05-01,-0.13046
2005-06-01,-0.16329
2005-07-01,0.13085
2005-08-01,0.06534
2005-09-01,0.22853
2005-10-01,-0.48860
2005-11-01,0.00000
2005-12-01,-0.09820
2006-01-01,0.06553
2006-02-01,-0.06549
2006-03-01,0.09830
2006-04-01,-0.26187
2006-05-01,-0.26255
2006-06-01,-0.09872
2006-07-01,-0.16469
2006-08-01,0.13197
2006-09-01,-0.23064
2006-10-01,-0.13210
2006-11-01,0.00000
2006-12-01,0.33069
2007-01-01,-0.13184
2007-02-01,0.13201
2007-03-01,-0.13184
2007-04-01,0.16502
2007-05-01,0.16474
2007-06-01,-0.06579
2007-07-01,-0.03292
2007-08-01,-0.29635
2007-09-01,0.09908
2007-10-01,-0.09898
2007-11-01,-0.09908
2007-12-01,0.03306
2008-01-01,0.00000
2008-02-01,-0.23133
2008-03-01,0.06625
2008-04-01,-0.26481
2008-05-01,-0.16595
2008-06-01,-0.23271
2008-07-01,-0.46651
2008-08-01,-0.50218
2008-09-01,-0.33647
2008-10-01,-0.37137
2008-11-01,-0.67774
2008-12-01,-0.68236
2009-01-01,-0.68705
2009-02-01,-0.44967
2009-03-01,-0.48645
2009-04-01,-1.11732
2009-05-01,-0.88277
2009-06-01,-0.42750
2009-07-01,-0.60823
2009-08-01,-0.39597
2009-09-01,0.07228
2009-10-01,-0.18057
2009-11-01,-0.43415
2009-12-01,-0.25436
2010-01-01,-0.21858
2010-02-01,-0.07302
2010-03-01,-0.65765
2010-04-01,-0.18389
2010-05-01,-0.22108
2010-06-01,-0.25849
2010-07-01,0.07405
2010-08-01,-0.07399
2010-09-01,-0.14809
2010-10-01,-0.07416
