,Month,Construction,Information,Total_Private
75,2012-08-01,0.002840909090909,-0.0014930944382232,0.0015502494654312
76,2012-09-01,0.0023016997167138,-0.0018691588785046,0.0015389542227836
77,2012-10-01,0.0022964140611199,-0.0014981273408239,0.001607645642925
78,2012-11-01,0.0017624250969333,0.0030007501875468,0.0016228007945516
79,2012-12-01,0.0070372976776917,0.0011219147344801,0.002098254995529
80,2013-01-01,0.003843466107617,-0.0056032872618602,0.0018376506343428
81,2013-02-01,0.0066132962060563,0.0135236664162283,0.00235458040848
82,2013-03-01,0.0031120331950207,0.0007412898443291,0.0013724782910885
83,2013-04-01,-0.0010341261633919,-0.0014814814814814,0.0016517453149298
84,2013-05-01,0.0056935817805383,0.0051928783382789,0.0019297060706798
85,2013-06-01,0.0044604563389946,-0.0018450184501845,0.001768408519877
