,Month,Deficit_mil
319,2007-05-01,-67699.0
320,2007-06-01,27481.0
321,2007-07-01,-36447.0
322,2007-08-01,-116973.0
323,2007-09-01,112866.0
324,2007-10-01,-56838.0
325,2007-11-01,-98238.0
326,2007-12-01,48261.0
327,2008-01-01,17839.0
328,2008-02-01,-175563.0
329,2008-03-01,-48212.0
330,2008-04-01,159282.0
331,2008-05-01,-165927.0
332,2008-06-01,33547.0
333,2008-07-01,-102767.0
334,2008-08-01,-111914.0
335,2008-09-01,45734.0
336,2008-10-01,-155533.0
337,2008-11-01,-125201.0
338,2008-12-01,-51754.0
339,2009-01-01,-63457.0
340,2009-02-01,-193859.0
341,2009-03-01,-191589.0
342,2009-04-01,-20907.0
343,2009-05-01,-189651.0
344,2009-06-01,-94332.0
345,2009-07-01,-180680.0
346,2009-08-01,-103555.0
347,2009-09-01,-45207.0
348,2009-10-01,-176363.0
349,2009-11-01,-120287.0
350,2009-12-01,-91410.0
351,2010-01-01,-42634.0
352,2010-02-01,-220909.0
353,2010-03-01,-65387.0
354,2010-04-01,-82689.0
355,2010-05-01,-135927.0
356,2010-06-01,-68422.0
357,2010-07-01,-165043.0
358,2010-08-01,-90526.0
359,2010-09-01,-34607.0
360,2010-10-01,-140432.0
361,2010-11-01,-150394.0
362,2010-12-01,-78134.0
363,2011-01-01,-49796.0
364,2011-02-01,-222507.0
365,2011-03-01,-188154.0
366,2011-04-01,-40387.0
367,2011-05-01,-57641.0
368,2011-06-01,-43080.0
369,2011-07-01,-129376.0
370,2011-08-01,-134143.0
371,2011-09-01,-62750.0
372,2011-10-01,-98466.0
373,2011-11-01,-137302.0
374,2011-12-01,-85967.0
375,2012-01-01,-27407.0
376,2012-02-01,-231677.0
377,2012-03-01,-198157.0
378,2012-04-01,59117.0
379,2012-05-01,-124636.0
380,2012-06-01,-59741.0
381,2012-07-01,-69604.0
382,2012-08-01,-190533.0
383,2012-09-01,75180.0
384,2012-10-01,-119995.0
385,2012-11-01,-172112.0
386,2012-12-01,-1191.0
387,2013-01-01,2886.0
388,2013-02-01,-203539.0
389,2013-03-01,-106530.0
