,Month,Total nonfarm,Total private,Mining and logging,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Utilities,Information,Financial activities,Professional and business services,Private education and health services,Leisure and hospitality,Other services,Government,Federal government,State government,Local government
130,2014-08-01,182.0,228.0,1.0,32.0,19.0,-1.5,8.199999999998909,14.699999999999818,1.900000000000091,8.0,14.0,57.0,38.0,22.0,14.0,-46.0,4.0,-19.0,-31.0
131,2014-09-01,305.0,263.0,5.0,32.0,18.0,6.699999999999818,29.5,13.900000000000546,-1.8000000000000682,1.0,15.0,55.0,52.0,43.0,-6.0,42.0,0.0,25.0,17.0
132,2014-10-01,242.0,222.0,-2.0,17.0,33.0,2.199999999999818,38.30000000000109,19.899999999999636,0.8000000000000682,-7.0,9.0,30.0,30.0,43.0,7.0,20.0,0.0,5.0,15.0
133,2014-11-01,284.0,269.0,-1.0,13.0,25.0,3.199999999999818,25.600000000000364,22.600000000000364,0.1999999999999318,8.0,18.0,54.0,53.0,38.0,10.0,15.0,5.0,7.0,3.0
134,2014-12-01,277.0,262.0,-4.0,21.0,8.0,7.900000000000546,14.299999999999272,27.899999999999636,1.6000000000000227,2.0,6.0,80.0,52.0,43.0,2.0,15.0,3.0,6.0,6.0
135,2015-01-01,196.0,183.0,-9.0,27.0,0.0,1.0,17.299999999999272,9.300000000000182,0.5,3.0,17.0,25.0,63.0,23.0,6.0,13.0,2.0,6.0,5.0
136,2015-02-01,267.0,249.0,-12.0,41.0,9.0,11.800000000000182,15.0,16.199999999999818,-0.20000000000004547,1.0,11.0,44.0,48.0,57.0,7.0,18.0,2.0,6.0,10.0
137,2015-03-01,95.0,103.0,-16.0,-27.0,11.0,1.7999999999992724,32.600000000000364,13.0,0.3000000000000682,-4.0,11.0,28.0,43.0,9.0,1.0,-8.0,1.0,-4.0,-5.0
138,2015-04-01,278.0,243.0,-16.0,58.0,6.0,-3.699999999999818,14.200000000000728,6.899999999999636,0.2999999999999545,5.0,5.0,44.0,74.0,42.0,7.0,35.0,15.0,3.0,17.0
139,2015-05-01,338.0,331.0,-22.0,35.0,15.0,6.800000000000182,34.100000000000364,22.200000000000728,1.3999999999999773,5.0,11.0,82.0,52.0,80.0,8.0,7.0,-10.0,4.0,13.0
140,2015-06-01,155.0,152.0,-4.0,14.0,1.0,-1.5,9.099999999998545,27.099999999999454,-1.0,1.0,18.0,51.0,40.0,5.0,-7.0,3.0,1.0,-1.0,3.0
141,2015-07-01,294.0,259.0,-11.0,31.0,15.0,-0.1000000000003638,14.5,23.400000000000546,1.5,4.0,19.0,33.0,55.0,60.0,13.0,35.0,2.0,0.0,33.0
142,2015-08-01,141.0,131.0,-12.0,18.0,-4.0,0.9000000000005457,6.5,10.799999999999272,1.1000000000000227,-1.0,11.0,33.0,41.0,33.0,-7.0,10.0,4.0,4.0,2.0
143,2015-09-01,135.0,155.0,-15.0,18.0,9.0,-9.600000000000364,-10.299999999999272,9.0,-1.0,13.0,7.0,20.0,37.0,78.0,0.0,-20.0,-1.0,6.0,-25.0
144,2015-10-01,320.0,304.0,-8.0,39.0,8.0,1.5,41.899999999999636,0.4000000000005457,-0.2999999999999545,2.0,15.0,74.0,84.0,37.0,9.0,16.0,0.0,1.0,15.0
145,2015-11-01,225.0,200.0,-15.0,51.0,-5.0,1.4000000000005457,6.399999999999636,15.899999999999636,0.10000000000002274,-15.0,15.0,35.0,45.0,58.0,8.0,25.0,7.0,6.0,12.0
146,2015-12-01,273.0,257.0,-10.0,32.0,5.0,-2.2000000000007276,5.300000000001091,31.300000000000182,-0.6000000000000227,10.0,7.0,69.0,63.0,32.0,15.0,16.0,10.0,-2.0,8.0
147,2016-01-01,115.0,98.0,-14.0,1.0,21.0,2.100000000000364,35.100000000000364,-31.5,0.0,1.0,18.0,11.0,12.0,48.0,-6.0,17.0,-5.0,2.0,20.0
148,2016-02-01,212.0,188.0,-21.0,9.0,-18.0,-2.300000000000182,48.29999999999927,15.800000000000182,1.1000000000000227,13.0,3.0,12.0,68.0,40.0,19.0,24.0,7.0,-5.0,22.0
149,2016-03-01,256.0,216.0,-20.0,38.0,-23.0,3.800000000000182,55.399999999999636,18.599999999999454,-1.7000000000000455,10.0,16.0,24.0,47.0,41.0,7.0,40.0,5.0,7.0,28.0
150,2016-04-01,190.0,184.0,-14.0,24.0,11.0,4.899999999999636,-2.399999999999636,15.900000000000546,0.10000000000002274,4.0,23.0,31.0,55.0,27.0,5.0,6.0,2.0,5.0,-1.0
151,2016-05-01,45.0,30.0,-11.0,-13.0,-21.0,-2.399999999999636,5.100000000000364,15.099999999999454,-1.0,-38.0,16.0,7.0,60.0,21.0,-8.0,15.0,7.0,-5.0,13.0
152,2016-06-01,251.0,270.0,-9.0,12.0,18.0,-3.699999999999818,16.399999999999636,4.200000000000728,1.5,50.0,16.0,43.0,53.0,56.0,12.0,-19.0,5.0,15.0,-39.0
153,2016-07-01,363.0,254.0,-6.0,34.0,22.0,3.0,14.799999999999272,25.099999999999454,0.6999999999999318,-2.0,23.0,44.0,48.0,40.0,8.0,109.0,3.0,8.0,98.0
154,2016-08-01,149.0,154.0,-4.0,1.0,-24.0,2.5,16.900000000001455,26.600000000000364,-0.5,4.0,16.0,4.0,53.0,46.0,12.0,-5.0,3.0,0.0,-8.0
155,2016-09-01,297.0,258.0,-2.0,32.0,-1.0,10.899999999999636,5.099999999998545,-5.0,0.10000000000002274,14.0,7.0,69.0,56.0,60.0,12.0,39.0,3.0,35.0,1.0
156,2016-10-01,108.0,136.0,-1.0,31.0,-2.0,1.9000000000005457,3.600000000000364,16.599999999999454,0.20000000000004547,-3.0,6.0,22.0,60.0,-5.0,6.0,-28.0,-2.0,-18.0,-8.0
157,2016-11-01,120.0,138.0,3.0,24.0,-3.0,3.7999999999992724,-43.0,17.400000000000546,0.2999999999999545,-2.0,11.0,36.0,35.0,46.0,9.0,-18.0,-6.0,3.0,-15.0
158,2016-12-01,219.0,192.0,1.0,-5.0,13.0,-4.0,31.399999999999636,32.099999999999454,0.6000000000000227,5.0,26.0,32.0,59.0,19.0,-18.0,27.0,17.0,4.0,6.0
159,2017-01-01,231.0,219.0,0.0,22.0,11.0,8.0,58.5,-15.0,-1.2000000000000455,4.0,27.0,41.0,17.0,29.0,18.0,12.0,-2.0,17.0,-3.0
160,2017-02-01,206.0,196.0,7.0,41.0,14.0,2.600000000000364,-24.5,17.0,-0.599999999999909,-6.0,3.0,18.0,70.0,43.0,12.0,10.0,-1.0,4.0,7.0
161,2017-03-01,130.0,127.0,4.0,21.0,13.0,1.0,-28.399999999999636,14.0,-0.10000000000002274,-2.0,7.0,31.0,35.0,24.0,7.0,3.0,-2.0,3.0,2.0
162,2017-04-01,197.0,191.0,10.0,14.0,7.0,-1.0,-19.899999999999636,18.600000000000364,-0.5,-9.0,17.0,33.0,52.0,65.0,5.0,6.0,-12.0,6.0,12.0
163,2017-05-01,217.0,205.0,6.0,15.0,9.0,-1.699999999999818,-19.399999999999636,30.100000000000364,-0.39999999999997726,-3.0,12.0,61.0,44.0,40.0,12.0,12.0,10.0,12.0,-10.0
164,2017-06-01,199.0,186.0,4.0,31.0,13.0,5.800000000000182,-8.399999999999636,15.199999999999818,0.599999999999909,10.0,16.0,34.0,20.0,41.0,4.0,13.0,-3.0,-7.0,23.0
165,2017-07-01,184.0,170.0,2.0,6.0,1.0,2.699999999999818,-8.400000000001455,9.5,0.0,-2.0,13.0,40.0,65.0,35.0,6.0,14.0,1.0,4.0,9.0
166,2017-08-01,135.0,199.0,4.0,34.0,44.0,1.8999999999996362,-6.099999999998545,12.5,0.20000000000004547,4.0,11.0,41.0,23.0,28.0,2.0,-64.0,-4.0,-9.0,-51.0
167,2017-09-01,92.0,69.0,2.0,11.0,10.0,-1.5999999999994543,-11.5,31.0,0.39999999999997726,3.0,3.0,-4.0,32.0,-10.0,3.0,23.0,-3.0,-25.0,51.0
168,2017-10-01,148.0,120.0,1.0,18.0,13.0,6.199999999999818,-2.0,17.5,-0.6999999999999318,-5.0,3.0,41.0,22.0,-7.0,13.0,28.0,3.0,8.0,17.0
169,2017-11-01,230.0,212.0,5.0,37.0,15.0,1.5999999999994543,37.099999999998545,10.399999999999636,-0.10000000000002274,4.0,8.0,14.0,43.0,27.0,10.0,18.0,-11.0,9.0,20.0
170,2017-12-01,144.0,139.0,0.0,23.0,28.0,2.300000000000182,-41.099999999998545,24.199999999999818,0.10000000000002274,3.0,6.0,37.0,32.0,23.0,2.0,5.0,3.0,-2.0,4.0
171,2018-01-01,149.0,159.0,7.0,2.0,28.0,-0.5999999999994543,-35.0,8.400000000000546,-1.8000000000000682,-1.0,7.0,59.0,56.0,26.0,4.0,-10.0,0.0,-7.0,-3.0
172,2018-02-01,388.0,343.0,6.0,91.0,23.0,2.2999999999992724,47.69999999999891,24.0,2.800000000000068,2.0,24.0,38.0,55.0,22.0,5.0,45.0,-4.0,4.0,45.0
173,2018-03-01,223.0,215.0,8.0,10.0,26.0,13.5,15.5,38.80000000000018,-0.7000000000000455,7.0,11.0,47.0,29.0,8.0,2.0,8.0,2.0,8.0,-2.0
174,2018-04-01,145.0,128.0,8.0,18.0,21.0,-24.299999999999272,0.3000000000010914,20.099999999999454,1.2999999999999545,12.0,8.0,48.0,21.0,-13.0,8.0,17.0,8.0,13.0,-4.0
175,2018-05-01,329.0,324.0,4.0,62.0,26.0,5.299999999999272,15.399999999999636,31.0,-1.3999999999999773,3.0,26.0,60.0,46.0,35.0,11.0,5.0,-7.0,-3.0,15.0
176,2018-06-01,211.0,178.0,4.0,18.0,34.0,2.800000000000182,-47.399999999999636,21.300000000000182,-0.8999999999999773,-3.0,18.0,49.0,25.0,49.0,9.0,33.0,5.0,5.0,23.0
177,2018-07-01,56.0,102.0,0.0,26.0,20.0,12.900000000000546,-15.700000000000728,7.899999999999636,-3.2999999999999545,3.0,10.0,12.0,25.0,19.0,-15.0,-46.0,1.0,-4.0,-43.0
178,2018-08-01,250.0,218.0,9.0,29.0,14.0,18.299999999999272,0.5,34.70000000000073,0.0,-1.0,12.0,39.0,48.0,14.0,0.0,32.0,2.0,-1.0,31.0
179,2018-09-01,89.0,83.0,0.0,28.0,19.0,-4.0,-39.29999999999927,20.5,-0.10000000000002274,-2.0,17.0,31.0,22.0,-18.0,9.0,6.0,4.0,9.0,-7.0
180,2018-10-01,165.0,160.0,3.0,14.0,23.0,6.5,-42.80000000000109,28.299999999999272,0.6999999999999318,12.0,14.0,23.0,44.0,31.0,3.0,5.0,0.0,0.0,5.0
181,2018-11-01,96.0,102.0,-5.0,-3.0,10.0,8.400000000000546,43.30000000000109,19.200000000000728,-0.09999999999990905,0.0,8.0,4.0,15.0,5.0,-2.0,-6.0,4.0,-18.0,8.0
182,2018-12-01,183.0,145.0,6.0,10.0,19.0,4.800000000000182,-54.100000000000364,-14.5,-0.6000000000000227,1.0,10.0,19.0,86.0,51.0,7.0,38.0,-1.0,11.0,28.0
183,2019-01-01,309.0,296.0,4.0,28.0,37.0,10.399999999999636,-20.399999999999636,67.09999999999945,0.0,-9.0,14.0,6.0,47.0,105.0,7.0,13.0,-4.0,-2.0,19.0
184,2019-02-01,-22.0,-34.0,-6.0,-28.0,-11.0,7.300000000000182,-19.200000000000728,-19.300000000000182,-1.1000000000000227,2.0,8.0,28.0,23.0,-19.0,1.0,12.0,6.0,9.0,-3.0
185,2019-03-01,228.0,191.0,-1.0,26.0,0.0,-2.300000000000182,-14.5,20.5,0.39999999999997726,6.0,22.0,25.0,63.0,25.0,21.0,37.0,3.0,9.0,25.0
186,2019-04-01,243.0,206.0,-2.0,37.0,-2.0,3.800000000000182,-5.200000000000728,31.0,-3.1000000000000227,-4.0,19.0,53.0,66.0,-3.0,16.0,37.0,15.0,0.0,22.0
187,2019-05-01,67.0,108.0,-1.0,27.0,-5.0,-3.600000000000364,-14.599999999998545,23.200000000000728,2.0,8.0,12.0,45.0,34.0,-15.0,-4.0,-41.0,-3.0,-41.0,3.0
188,2019-06-01,167.0,159.0,-3.0,25.0,5.0,-8.199999999999818,-28.100000000000364,34.19999999999982,2.400000000000091,19.0,13.0,49.0,46.0,-6.0,10.0,8.0,9.0,20.0,-21.0
189,2019-07-01,82.0,117.0,-7.0,14.0,6.0,9.600000000000364,-2.3000000000010914,9.699999999999818,-1.2000000000000455,-7.0,21.0,21.0,38.0,12.0,4.0,-35.0,-4.0,21.0,-52.0
190,2019-08-01,232.0,160.0,-6.0,5.0,-1.0,-2.100000000000364,-9.0,8.0,-1.0,1.0,16.0,29.0,58.0,63.0,-1.0,72.0,25.0,20.0,27.0
191,2019-09-01,207.0,176.0,-3.0,21.0,-2.0,1.3999999999996362,6.300000000001091,13.199999999999818,-1.3999999999999773,5.0,-1.0,8.0,55.0,71.0,2.0,31.0,-3.0,7.0,27.0
192,2019-10-01,129.0,99.0,1.0,5.0,-51.0,9.700000000000728,10.5,8.699999999999818,-1.6000000000000227,1.0,15.0,4.0,39.0,65.0,-7.0,30.0,-14.0,18.0,26.0
193,2019-11-01,215.0,176.0,-11.0,-11.0,43.0,-1.4000000000005457,-8.300000000001091,11.700000000000728,1.2000000000000455,10.0,16.0,7.0,67.0,35.0,17.0,39.0,4.0,10.0,25.0
194,2019-12-01,102.0,93.0,-14.0,-17.0,-14.0,3.100000000000364,17.0,17.5,1.1999999999999318,8.0,5.0,-10.0,44.0,49.0,3.0,9.0,-6.0,1.0,14.0
195,2020-01-01,334.0,274.0,-6.0,52.0,-11.0,0.5999999999994543,-16.19999999999891,60.599999999999454,-1.7999999999999545,10.0,17.0,2.0,88.0,59.0,20.0,60.0,20.0,23.0,17.0
196,2020-02-01,273.0,185.0,-2.0,28.0,-5.0,-6.0,-8.700000000000728,-22.0,0.39999999999997726,7.0,31.0,13.0,52.0,92.0,5.0,88.0,-1.0,46.0,43.0
197,2020-07-01,1444.0,1342.0,-11.0,25.0,41.0,-17.600000000000364,222.5,55.19999999999982,-0.2999999999999545,-5.0,0.0,192.0,193.0,507.0,140.0,102.0,23.0,10.0,69.0
198,2020-08-01,1735.0,1233.0,-8.0,30.0,26.0,15.900000000000546,294.1999999999989,100.19999999999982,2.099999999999909,25.0,25.0,185.0,203.0,281.0,54.0,502.0,251.0,45.0,206.0
199,2020-09-01,961.0,1053.0,-1.0,31.0,57.0,27.199999999999818,40.70000000000073,68.39999999999964,1.6000000000000227,56.0,29.0,120.0,89.0,487.0,47.0,-92.0,-36.0,-21.0,-35.0
200,2020-10-01,719.0,871.0,-3.0,54.0,24.0,11.399999999999636,109.69999999999891,81.30000000000018,-1.1999999999999318,-3.0,22.0,218.0,98.0,242.0,18.0,-152.0,-144.0,-22.0,14.0
201,2020-11-01,264.0,350.0,-2.0,7.0,34.0,13.800000000000182,5.900000000001455,103.30000000000018,0.2999999999999545,7.0,10.0,104.0,58.0,18.0,-10.0,-86.0,-89.0,1.0,2.0
202,2020-12-01,-268.0,-258.0,3.0,38.0,40.0,11.800000000000182,4.0,5.199999999999818,-0.5,13.0,12.0,157.0,-1.0,-509.0,-31.0,-10.0,6.0,6.0,-22.0
203,2021-01-01,494.0,384.0,-7.0,8.0,-3.0,13.0,59.599999999998545,36.900000000000546,0.7999999999999545,34.0,14.0,144.0,17.0,55.0,11.0,110.0,-8.0,82.0,36.0
204,2021-02-01,575.0,563.0,-9.0,-72.0,26.0,8.899999999999636,30.30000000000109,51.099999999999454,0.20000000000004547,16.0,-11.0,86.0,62.0,372.0,3.0,12.0,-6.0,5.0,13.0
205,2021-03-01,784.0,701.0,13.0,104.0,48.0,14.400000000000546,26.299999999999272,79.19999999999982,0.7000000000000455,5.0,10.0,127.0,111.0,145.0,17.0,83.0,6.0,28.0,49.0
206,2021-04-01,286.0,233.0,2.0,11.0,-42.0,15.599999999999454,-32.19999999999891,-12.899999999999636,0.599999999999909,22.0,20.0,-19.0,35.0,206.0,27.0,53.0,12.0,-4.0,45.0
207,2021-05-01,482.0,481.0,0.0,-12.0,31.0,17.800000000000182,18.799999999999272,32.5,0.40000000000009095,28.0,7.0,83.0,42.0,224.0,9.0,1.0,-8.0,-12.0,21.0
208,2021-06-01,693.0,624.0,4.0,6.0,17.0,22.100000000000364,35.899999999999636,51.899999999999636,0.599999999999909,17.0,7.0,103.0,20.0,273.0,66.0,69.0,-2.0,11.0,60.0
209,2021-07-01,769.0,731.0,1.0,15.0,73.0,26.199999999999818,-33.79999999999927,50.100000000000364,0.7000000000000455,29.0,37.0,163.0,45.0,284.0,41.0,38.0,-1.0,-27.0,66.0
210,2021-08-01,663.0,600.0,3.0,16.0,46.0,17.800000000000182,11.899999999999636,61.100000000000364,-0.6000000000000227,36.0,17.0,103.0,28.0,226.0,35.0,63.0,2.0,-14.0,75.0
211,2021-09-01,557.0,583.0,0.0,41.0,42.0,20.0,70.89999999999964,59.0,1.2000000000000455,15.0,29.0,92.0,-1.0,200.0,14.0,-26.0,-3.0,-11.0,-12.0
212,2021-10-01,781.0,818.0,4.0,42.0,59.0,20.899999999999636,53.600000000000364,74.0,0.6000000000000227,17.0,27.0,229.0,96.0,166.0,29.0,-37.0,-10.0,-6.0,-21.0
213,2021-11-01,614.0,613.0,4.0,46.0,44.0,22.0,-5.0,51.69999999999982,0.7999999999999545,21.0,35.0,139.0,48.0,177.0,29.0,1.0,5.0,-12.0,8.0
214,2021-12-01,569.0,551.0,7.0,34.0,44.0,30.899999999999636,11.200000000000728,61.099999999999454,0.6000000000000227,18.0,23.0,109.0,41.0,150.0,21.0,18.0,-9.0,-7.0,34.0
215,2022-01-01,364.0,345.0,-1.0,-4.0,33.0,23.800000000000182,30.099999999998545,44.80000000000018,2.1000000000000227,12.0,6.0,95.0,-5.0,116.0,-7.0,19.0,1.0,-12.0,30.0
216,2022-02-01,904.0,897.0,5.0,79.0,37.0,27.300000000000182,168.8000000000011,74.10000000000036,1.0,7.0,41.0,142.0,109.0,162.0,43.0,7.0,0.0,-13.0,20.0
217,2022-03-01,414.0,423.0,6.0,23.0,62.0,35.899999999999636,-22.100000000000364,25.399999999999636,0.5,26.0,15.0,133.0,54.0,54.0,11.0,-9.0,-1.0,-25.0,17.0
218,2022-04-01,254.0,226.0,9.0,6.0,52.0,24.900000000000546,-37.399999999999636,33.19999999999982,0.09999999999990905,17.0,37.0,-18.0,55.0,36.0,11.0,28.0,-2.0,14.0,16.0
219,2022-05-01,364.0,343.0,2.0,38.0,21.0,18.300000000000182,-51.399999999999636,45.30000000000018,0.7000000000000455,32.0,6.0,72.0,76.0,73.0,10.0,21.0,-3.0,15.0,9.0
220,2022-06-01,370.0,382.0,7.0,13.0,30.0,5.199999999999818,14.099999999998545,17.0,0.39999999999997726,22.0,3.0,89.0,96.0,75.0,10.0,-12.0,-17.0,-2.0,7.0
221,2022-07-01,568.0,493.0,6.0,24.0,41.0,16.0,9.400000000001455,19.400000000000546,1.3000000000000682,13.0,14.0,77.0,127.0,113.0,32.0,75.0,16.0,13.0,46.0
222,2022-08-01,352.0,306.0,-2.0,8.0,31.0,13.199999999999818,36.69999999999891,8.5,1.2999999999999545,8.0,9.0,48.0,92.0,48.0,4.0,46.0,-2.0,6.0,42.0
223,2022-09-01,350.0,344.0,2.0,16.0,26.0,8.300000000000182,-11.100000000000364,9.699999999999818,0.10000000000002274,3.0,2.0,48.0,80.0,139.0,21.0,6.0,2.0,6.0,-2.0
224,2022-10-01,324.0,299.0,3.0,17.0,37.0,15.800000000000182,-5.599999999998545,19.899999999999636,1.2999999999999545,3.0,18.0,36.0,85.0,61.0,8.0,25.0,4.0,-11.0,32.0
225,2022-11-01,290.0,228.0,8.0,19.0,14.0,-0.4000000000005457,-45.600000000000364,-37.099999999999454,-0.8999999999999773,13.0,11.0,0.0,95.0,123.0,29.0,62.0,2.0,12.0,48.0
226,2022-12-01,239.0,232.0,4.0,26.0,6.0,9.600000000000364,26.69999999999891,0.2999999999992724,-0.7000000000000455,-9.0,4.0,23.0,71.0,58.0,13.0,7.0,1.0,-29.0,35.0
227,2023-01-01,472.0,353.0,4.0,26.0,11.0,8.899999999999636,22.30000000000109,31.700000000000728,-1.599999999999909,-23.0,-1.0,44.0,111.0,99.0,21.0,119.0,12.0,69.0,38.0
228,2023-02-01,248.0,193.0,1.0,14.0,3.0,6.699999999999818,48.0,-17.700000000000728,-1.1000000000000227,-8.0,0.0,21.0,64.0,57.0,5.0,55.0,9.0,19.0,27.0
229,2023-03-01,217.0,157.0,2.0,-9.0,-12.0,3.5,-18.899999999999636,16.200000000000728,1.6999999999999318,3.0,-5.0,45.0,70.0,46.0,14.0,60.0,11.0,20.0,29.0
230,2023-04-01,217.0,179.0,5.0,11.0,9.0,-1.5,-2.0,-15.100000000000364,1.7000000000000455,3.0,27.0,48.0,77.0,11.0,5.0,38.0,4.0,7.0,27.0
231,2023-05-01,281.0,255.0,3.0,25.0,-4.0,7.700000000000728,20.899999999999636,18.600000000000364,0.7000000000000455,-4.0,13.0,45.0,88.0,28.0,13.0,26.0,9.0,14.0,3.0
232,2023-06-01,105.0,86.0,-1.0,29.0,4.0,-6.700000000000728,-22.700000000000728,-19.100000000000364,0.7999999999999545,-10.0,2.0,-1.0,79.0,26.0,6.0,19.0,6.0,15.0,-2.0
233,2023-07-01,236.0,145.0,2.0,12.0,-2.0,15.400000000000546,12.600000000000364,-6.800000000000182,-1.5,-19.0,15.0,-29.0,104.0,38.0,4.0,91.0,10.0,12.0,69.0
234,2023-08-01,227.0,177.0,0.0,36.0,11.0,0.0,0.3999999999996362,-18.899999999999636,2.3999999999999773,-21.0,2.0,11.0,97.0,44.0,14.0,50.0,11.0,24.0,15.0
235,2023-09-01,336.0,263.0,1.0,11.0,17.0,11.699999999999818,19.700000000000728,8.599999999999454,4.800000000000068,-5.0,3.0,21.0,70.0,96.0,4.0,73.0,6.0,29.0,38.0
