DATE,NASDAQ100
2000-05-01,3412.7986363636363636
2000-06-01,3748.8190909090909091
2000-07-01,3825.9305000000000000
2000-08-01,3772.6326086956521739
2000-09-01,3742.1955000000000000
2000-10-01,3268.1827272727272727
2000-11-01,2943.9047619047619048
2000-12-01,2578.7510000000000000
2001-01-01,2519.1004545454545455
2001-02-01,2244.4321052631578947
2001-03-01,1752.6681818181818182
2001-04-01,1677.5535000000000000
2001-05-01,1902.6290909090909091
2001-06-01,1795.3290476190476190
2001-07-01,1693.3804761904761905
2001-08-01,1589.9652173913043478
2001-09-01,1250.8733333333333333
2001-10-01,1334.2969565217391304
2001-11-01,1549.6304761904761905
2001-12-01,1626.6950000000000000
2002-01-01,1598.3595000000000000
2002-02-01,1429.9763157894736842
2002-03-01,1486.0630000000000000
2002-04-01,1356.3868181818181818
2002-05-01,1248.5240909090909091
2002-06-01,1105.0505000000000000
2002-07-01,977.6050000000000000
2002-08-01,960.4727272727272727
2002-09-01,893.1795000000000000
2002-10-01,913.2134782608695652
2002-11-01,1057.7075000000000000
2002-12-01,1032.7504761904761905
2003-01-01,1035.5476190476190476
2003-02-01,984.1526315789473684
2003-03-01,1028.7485714285714286
2003-04-01,1068.6090476190476190
2003-05-01,1144.9990476190476190
2003-06-01,1214.4442857142857143
2003-07-01,1268.7531818181818182
2003-08-01,1272.4985714285714286
2003-09-01,1358.2190476190476190
2003-10-01,1395.5921739130434783
2003-11-01,1412.8015789473684211
2003-12-01,1427.0790909090909091
2004-01-01,1521.3040000000000000
2004-02-01,1485.3663157894736842
2004-03-01,1428.9360869565217391
2004-04-01,1469.3128571428571429
2004-05-01,1418.1005000000000000
2004-06-01,1478.1609523809523810
2004-07-01,1416.9528571428571429
2004-08-01,1355.5059090909090909
2004-09-01,1404.8123809523809524
2004-10-01,1452.0557142857142857
2004-11-01,1545.5909523809523810
2004-12-01,1612.1427272727272727
2005-01-01,1539.8020000000000000
2005-02-01,1521.4094736842105263
2005-03-01,1499.4922727272727273
2005-04-01,1447.2714285714285714
2005-05-01,1489.8852380952380952
2005-06-01,1528.1977272727272727
2005-07-01,1566.9160000000000000
2005-08-01,1587.0708695652173913
2005-09-01,1586.5480952380952381
2005-10-01,1560.8095238095238095
2005-11-01,1653.7885714285714286
2005-12-01,1684.7890476190476190
2006-01-01,1713.9480000000000000
2006-02-01,1671.2615789473684211
2006-03-01,1678.6769565217391304
2006-04-01,1714.6973684210526316
2006-05-01,1637.6477272727272727
2006-06-01,1560.0913636363636364
2006-07-01,1501.4710000000000000
2006-08-01,1534.3386956521739130
2006-09-01,1621.1820000000000000
2006-10-01,1704.2027272727272727
2006-11-01,1770.2757142857142857
2006-12-01,1780.6770000000000000
2007-01-01,1796.3835000000000000
2007-02-01,1806.0331578947368421
2007-03-01,1759.3209090909090909
2007-04-01,1832.8125000000000000
2007-05-01,1895.6777272727272727
2007-06-01,1922.0447619047619048
2007-07-01,1999.0714285714285714
2007-08-01,1931.2669565217391304
2007-09-01,2024.2821052631578947
2007-10-01,2164.6347826086956522
2007-11-01,2080.2605000000000000
2007-12-01,2089.8295000000000000
2008-01-01,1886.3828571428571429
2008-02-01,1784.9295000000000000
2008-03-01,1748.1680000000000000
2008-04-01,1868.3204545454545455
2008-05-01,1990.9476190476190476
2008-06-01,1950.3000000000000000
2008-07-01,1830.9527272727272727
2008-08-01,1905.0266666666666667
2008-09-01,1710.0033333333333333
2008-10-01,1328.5608695652173913
2008-11-01,1199.0736842105263158
2008-12-01,1188.2409090909090909
2009-01-01,1206.4510000000000000
2009-02-01,1199.4126315789473684
2009-03-01,1167.3090909090909091
2009-04-01,1332.1580952380952381
2009-05-01,1393.4730000000000000
2009-06-01,1472.1577272727272727
2009-07-01,1515.8009090909090909
2009-08-01,1617.9452380952380952
2009-09-01,1688.0133333333333333
2009-10-01,1722.0009090909090909
2009-11-01,1761.7870000000000000
2009-12-01,1816.5409090909090909
2010-01-01,1850.2194736842105263
2010-02-01,1784.7347368421052632
2010-03-01,1920.6160869565217391
2010-04-01,2010.9600000000000000
2010-05-01,1893.2190000000000000
2010-06-01,1847.1754545454545455
2010-07-01,1827.2047619047619048
2010-08-01,1839.0745454545454545
2010-09-01,1939.8833333333333333
2010-10-01,2066.0171428571428571
2010-11-01,2148.4080952380952381
2010-12-01,2211.4118181818181818
