DATE,H8B3094NCBA
1990-10-10,528446.4
1990-10-17,528490.1
1990-10-24,541922.9
1990-10-31,551073.6
1990-11-07,540421.5
1990-11-14,553146.9
1990-11-21,550788.7
1990-11-28,543709.9
1990-12-05,533351.7
1990-12-12,537244.5
1990-12-19,525290.0
1990-12-26,527655.6
1991-01-02,501076.6
1991-01-09,501075.0
1991-01-16,482005.9
1991-01-23,502862.5
1991-01-30,483642.1
1991-02-06,493937.6
1991-02-13,481203.1
1991-02-20,486183.1
1991-02-27,472541.0
1991-03-06,479064.0
1991-03-13,474645.8
1991-03-20,469930.6
1991-03-27,462200.5
1991-04-03,480657.3
1991-04-10,467831.9
1991-04-17,466579.6
1991-04-24,449997.7
1991-05-01,474712.6
1991-05-08,451456.2
1991-05-15,466234.3
1991-05-22,447675.5
1991-05-29,463588.7
1991-06-05,455922.9
1991-06-12,448399.2
1991-06-19,454522.5
1991-06-26,460052.1
1991-07-03,444518.6
1991-07-10,454598.0
1991-07-17,436244.7
1991-07-24,440161.0
1991-07-31,459449.5
1991-08-07,454054.7
1991-08-14,446533.3
1991-08-21,451844.0
1991-08-28,442844.3
1991-09-04,458148.7
1991-09-11,450667.9
1991-09-18,454021.3
1991-09-25,445717.2
1991-10-02,464785.2
1991-10-09,450669.6
1991-10-16,471468.4
1991-10-23,455864.6
1991-10-30,463462.2
1991-11-06,464971.9
1991-11-13,469790.9
1991-11-20,460624.9
1991-11-27,458154.1
1991-12-04,457575.9
1991-12-11,463259.3
1991-12-18,466366.2
1991-12-25,473135.9
1992-01-01,465260.4
1992-01-08,476740.3
1992-01-15,481000.2
1992-01-22,482453.5
1992-01-29,472622.5
1992-02-05,481698.7
1992-02-12,475250.3
1992-02-19,484862.1
1992-02-26,474441.3
1992-03-04,484804.1
1992-03-11,471633.6
1992-03-18,478840.6
1992-03-25,469875.8
1992-04-01,472668.2
1992-04-08,466787.9
1992-04-15,480329.7
1992-04-22,469005.1
1992-04-29,464521.9
1992-05-06,457679.0
1992-05-13,460198.5
1992-05-20,459179.7
1992-05-27,466247.0
1992-06-03,465086.3
1992-06-10,474537.1
1992-06-17,459298.1
1992-06-24,457176.4
1992-07-01,468521.8
1992-07-08,458384.4
1992-07-15,452742.5
1992-07-22,461998.6
1992-07-29,444586.2
1992-08-05,465823.1
1992-08-12,459840.1
1992-08-19,462100.1
1992-08-26,458491.7
1992-09-02,477766.2
1992-09-09,460246.4
1992-09-16,478688.3
1992-09-23,455505.1
1992-09-30,467802.9
1992-10-07,455548.8
1992-10-14,471240.6
1992-10-21,457267.8
1992-10-28,454802.1
1992-11-04,456350.6
1992-11-11,475551.0
1992-11-18,462317.8
1992-11-25,461385.1
1992-12-02,463260.0
1992-12-09,477401.6
1992-12-16,465135.5
1992-12-23,462544.7
1992-12-30,466933.2
1993-01-06,468532.5
1993-01-13,450198.0
1993-01-20,465007.3
1993-01-27,450335.7
1993-02-03,465234.7
1993-02-10,457042.9
1993-02-17,461837.7
1993-02-24,451855.0
1993-03-03,461319.2
1993-03-10,461607.6
1993-03-17,467621.0
1993-03-24,460541.9
1993-03-31,467047.2
1993-04-07,457811.1
1993-04-14,449407.9
1993-04-21,451490.9
1993-04-28,453018.1
1993-05-05,449868.0
1993-05-12,459275.8
1993-05-19,467727.2
